Time(of day);Time (seconds);time;Channel0;Channel1;Channel2;Channel3;Channel4;Channel5;Channel6;Channel7
0.705154109;10.952823721;2021-11-23 16:55:25.315;25.08;24.78;24.94;25.82;25.86;27;34.22;77.96
0.705154294;10.968823936;2021-11-23 16:55:25.331;25.08;24.78;24.94;25.82;25.86;27.08;34.22;77.96
0.705154479;10.984824151;2021-11-23 16:55:25.347;25.08;24.78;24.94;25.82;25.86;27.08;34.62;77.96
0.705154664;11.000823737;2021-11-23 16:55:25.363;25.08;24.78;24.94;25.82;25.86;27.08;34.62;81.22
0.705165868;11.968824170;2021-11-23 16:55:26.331;25.08;24.78;24.94;25.82;25.86;27.16;34.62;81.22
0.705166053;11.984823756;2021-11-23 16:55:26.347;25.08;24.78;24.94;25.82;25.86;27.16;34.88;81.22
0.705166250;12.001824142;2021-11-23 16:55:26.364;25.08;24.78;24.94;25.82;25.86;27.16;34.88;84.22
0.705177072;12.936823974;2021-11-23 16:55:27.299;25.08;24.78;24.94;25.88;25.86;27.16;34.88;84.22
0.705177257;12.952824189;2021-11-23 16:55:27.315;25.08;24.78;24.94;25.88;25.92;27.16;34.88;84.22
0.705177442;12.968823775;2021-11-23 16:55:27.331;25.08;24.78;24.94;25.88;25.92;27.22;34.88;84.22
0.705177627;12.984823990;2021-11-23 16:55:27.347;25.08;24.78;24.94;25.88;25.92;27.22;35.56;84.22
0.705177801;12.999824034;2021-11-23 16:55:27.362;25.08;24.78;24.94;25.88;25.92;27.22;35.56;90.48
0.705188079;13.887824020;2021-11-23 16:55:28.250;25.16;24.78;24.94;25.88;25.92;27.22;35.56;90.48
0.705188264;13.903824235;2021-11-23 16:55:28.266;25.16;24.86;24.94;25.88;25.92;27.22;35.56;90.48
0.705188449;13.919823822;2021-11-23 16:55:28.282;25.16;24.86;25;25.88;25.92;27.22;35.56;90.48
0.705189005;13.967823838;2021-11-23 16:55:28.330;25.16;24.86;25;25.88;25.92;27.28;35.56;90.48
0.705189190;13.983824053;2021-11-23 16:55:28.346;25.16;24.86;25;25.88;25.92;27.28;35.96;90.48
0.705189375;13.999824268;2021-11-23 16:55:28.362;25.16;24.86;25;25.88;25.92;27.28;35.96;93.66
0.705200220;14.936823812;2021-11-23 16:55:29.299;25.16;24.86;25;26.02;25.92;27.28;35.96;93.66
0.705200405;14.952824027;2021-11-23 16:55:29.315;25.16;24.86;25;26.02;25.98;27.28;35.96;93.66
0.705200590;14.968824242;2021-11-23 16:55:29.331;25.16;24.86;25;26.02;25.98;27.36;35.96;93.66
0.705200775;14.984823829;2021-11-23 16:55:29.347;25.16;24.86;25;26.02;25.98;27.36;36.36;93.66
0.705200961;15.000824044;2021-11-23 16:55:29.363;25.16;24.86;25;26.02;25.98;27.36;36.36;97.06
0.705211238;15.888824030;2021-11-23 16:55:30.251;25.22;24.86;25;26.02;25.98;27.36;36.36;97.06
0.705211609;15.920823831;2021-11-23 16:55:30.283;25.22;24.86;25.08;26.02;25.98;27.36;36.36;97.06
0.705211979;15.952824261;2021-11-23 16:55:30.315;25.22;24.86;25.08;26.02;26.06;27.36;36.36;97.06
0.705212153;15.967824306;2021-11-23 16:55:30.330;25.22;24.86;25.08;26.02;26.06;27.5;36.36;97.06
0.705212338;15.983823892;2021-11-23 16:55:30.346;25.22;24.86;25.08;26.02;26.06;27.5;36.88;97.06
0.705212523;15.999824107;2021-11-23 16:55:30.362;25.22;24.86;25.08;26.02;26.06;27.5;36.88;100.72
0.705222986;16.903824308;2021-11-23 16:55:31.266;25.22;24.92;25.08;26.02;26.06;27.5;36.88;100.72
0.705223368;16.936824280;2021-11-23 16:55:31.299;25.22;24.92;25.08;26.08;26.06;27.5;36.88;100.72
0.705223738;16.968824081;2021-11-23 16:55:31.331;25.22;24.92;25.08;26.08;26.06;27.56;36.88;100.72
0.705223924;16.984824296;2021-11-23 16:55:31.347;25.22;24.92;25.08;26.08;26.06;27.56;37.6;100.72
0.705224097;16.999823712;2021-11-23 16:55:31.362;25.22;24.92;25.08;26.08;26.06;27.56;37.6;107.42
0.705234745;17.919824128;2021-11-23 16:55:32.282;25.22;24.92;25.14;26.08;26.06;27.56;37.6;107.42
0.705234942;17.936823885;2021-11-23 16:55:32.299;25.22;24.92;25.14;26.14;26.06;27.56;37.6;107.42
0.705235312;17.968823686;2021-11-23 16:55:32.331;25.22;24.92;25.14;26.14;26.06;27.64;37.6;107.42
0.705235486;17.983823731;2021-11-23 16:55:32.346;25.22;24.92;25.14;26.14;26.06;27.64;38.04;107.42
0.705235671;17.999823946;2021-11-23 16:55:32.362;25.22;24.92;25.14;26.14;26.06;27.64;38.04;111.74
0.705245949;18.887823932;2021-11-23 16:55:33.250;25.28;24.92;25.14;26.14;26.06;27.64;38.04;111.74
0.705246134;18.903824147;2021-11-23 16:55:33.266;25.28;25.02;25.14;26.14;26.06;27.64;38.04;111.74
0.705246319;18.919823733;2021-11-23 16:55:33.282;25.28;25.02;25.22;26.14;26.06;27.64;38.04;111.74
0.705246505;18.935823948;2021-11-23 16:55:33.298;25.28;25.02;25.22;26.28;26.06;27.64;38.04;111.74
0.705246875;18.967823750;2021-11-23 16:55:33.330;25.28;25.02;25.22;26.28;26.06;27.7;38.04;111.74
0.705247060;18.983823965;2021-11-23 16:55:33.346;25.28;25.02;25.22;26.28;26.06;27.7;38.58;111.74
0.705247245;18.999824179;2021-11-23 16:55:33.362;25.28;25.02;25.22;26.28;26.06;27.7;38.58;120.04
0.705257708;19.903823752;2021-11-23 16:55:34.266;25.28;25.08;25.22;26.28;26.06;27.7;38.58;120.04
0.705257894;19.919823967;2021-11-23 16:55:34.282;25.28;25.08;25.28;26.28;26.06;27.7;38.58;120.04
0.705258079;19.935824182;2021-11-23 16:55:34.298;25.28;25.08;25.28;26.36;26.06;27.7;38.58;120.04
0.705258264;19.951823768;2021-11-23 16:55:34.314;25.28;25.08;25.28;26.36;26.24;27.7;38.58;120.04
0.705258449;19.967823983;2021-11-23 16:55:34.330;25.28;25.08;25.28;26.36;26.24;27.94;38.58;120.04
0.705258634;19.983824198;2021-11-23 16:55:34.346;25.28;25.08;25.28;26.36;26.24;27.94;39.14;120.04
0.705258819;19.999823785;2021-11-23 16:55:34.362;25.28;25.08;25.28;26.36;26.24;27.94;39.14;140.06
0.705269097;20.887823771;2021-11-23 16:55:35.250;25.34;25.08;25.28;26.36;26.24;27.94;39.14;140.06
0.705269664;20.936823958;2021-11-23 16:55:35.299;25.34;25.08;25.28;26.44;26.24;27.94;39.14;140.06
0.705270023;20.967824217;2021-11-23 16:55:35.330;25.34;25.08;25.28;26.44;26.24;28.04;39.14;140.06
0.705270208;20.983823803;2021-11-23 16:55:35.346;25.34;25.08;25.28;26.44;26.24;28.04;40.5;140.06
0.705270394;20.999824018;2021-11-23 16:55:35.362;25.34;25.08;25.28;26.44;26.24;28.04;40.5;237.98
0.705280671;21.887824005;2021-11-23 16:55:36.250;25.44;25.08;25.28;26.44;26.24;28.04;40.5;237.98
0.705280856;21.903824220;2021-11-23 16:55:36.266;25.44;25.22;25.28;26.44;26.24;28.04;40.5;237.98
0.705281042;21.919823806;2021-11-23 16:55:36.282;25.44;25.22;25.4;26.44;26.24;28.04;40.5;237.98
0.705281227;21.935824021;2021-11-23 16:55:36.298;25.44;25.22;25.4;26.52;26.24;28.04;40.5;237.98
0.705281412;21.951824236;2021-11-23 16:55:36.314;25.44;25.22;25.4;26.52;26.32;28.04;40.5;237.98
0.705281597;21.967823822;2021-11-23 16:55:36.330;25.44;25.22;25.4;26.52;26.32;28.18;40.5;237.98
0.705281782;21.983824037;2021-11-23 16:55:36.346;25.44;25.22;25.4;26.52;26.32;28.18;41.24;237.98
0.705281968;21.999824252;2021-11-23 16:55:36.362;25.44;25.22;25.4;26.52;26.32;28.18;41.24;315.14
0.705292616;22.919824040;2021-11-23 16:55:37.282;25.44;25.22;25.5;26.52;26.32;28.18;41.24;315.14
0.705292812;22.936823797;2021-11-23 16:55:37.299;25.44;25.22;25.5;26.7;26.32;28.18;41.24;315.14
0.705293356;22.983824271;2021-11-23 16:55:37.346;25.44;25.22;25.5;26.7;26.32;28.18;41.92;315.14
0.705293542;22.999823857;2021-11-23 16:55:37.362;25.44;25.22;25.5;26.7;26.32;28.18;41.92;401.18
0.705304005;23.903824059;2021-11-23 16:55:38.266;25.44;25.3;25.5;26.7;26.32;28.18;41.92;401.18
0.705304387;23.936824030;2021-11-23 16:55:38.299;25.44;25.3;25.5;26.8;26.32;28.18;41.92;401.18
0.705304572;23.952824245;2021-11-23 16:55:38.315;25.44;25.3;25.5;26.8;26.52;28.18;41.92;401.18
0.705304745;23.967824290;2021-11-23 16:55:38.330;25.44;25.3;25.5;26.8;26.52;28.54;41.92;401.18
0.705304931;23.983823876;2021-11-23 16:55:38.346;25.44;25.3;25.5;26.8;26.52;28.54;42.74;401.18
0.705305116;23.999824091;2021-11-23 16:55:38.362;25.44;25.3;25.5;26.8;26.52;28.54;42.74;489.92
0.705316146;24.952823850;2021-11-23 16:55:39.315;25.44;25.3;25.5;26.8;26.46;28.54;42.74;489.92
0.705316331;24.968824065;2021-11-23 16:55:39.331;25.44;25.3;25.5;26.8;26.46;28.6;42.74;489.92
0.705316516;24.984824280;2021-11-23 16:55:39.347;25.44;25.3;25.5;26.8;26.46;28.6;44.38;489.92
0.705316701;25.000823867;2021-11-23 16:55:39.363;25.44;25.3;25.5;26.8;26.46;28.6;44.38;635.82
0.705326968;25.887824311;2021-11-23 16:55:40.250;25.6;25.3;25.5;26.8;26.46;28.6;44.38;635.82
0.705327153;25.903823897;2021-11-23 16:55:40.266;25.6;25.38;25.5;26.8;26.46;28.6;44.38;635.82
0.705327350;25.920824283;2021-11-23 16:55:40.283;25.6;25.38;25.58;26.8;26.46;28.6;44.38;635.82
0.705327535;25.936823869;2021-11-23 16:55:40.299;25.6;25.38;25.58;26.94;26.46;28.6;44.38;635.82
0.705327720;25.952824084;2021-11-23 16:55:40.315;25.6;25.38;25.58;26.94;26.6;28.6;44.38;635.82
0.705327894;25.967824129;2021-11-23 16:55:40.330;25.6;25.38;25.58;26.94;26.6;28.78;44.38;635.82
0.705328079;25.983823715;2021-11-23 16:55:40.346;25.6;25.38;25.58;26.94;26.6;28.78;45.22;635.82
0.705328264;25.999823930;2021-11-23 16:55:40.362;25.6;25.38;25.58;26.94;26.6;28.78;45.22;685.26
0.705338727;26.903824131;2021-11-23 16:55:41.266;25.6;25.44;25.58;26.94;26.6;28.78;45.22;685.26
0.705338912;26.919823717;2021-11-23 16:55:41.282;25.6;25.44;25.7;26.94;26.6;28.78;45.22;685.26
0.705339097;26.935823932;2021-11-23 16:55:41.298;25.6;25.44;25.7;27.04;26.6;28.78;45.22;685.26
0.705339479;26.968823904;2021-11-23 16:55:41.331;25.6;25.44;25.7;27.04;26.6;28.88;45.22;685.26
0.705339664;26.984824119;2021-11-23 16:55:41.347;25.6;25.44;25.7;27.04;26.6;28.88;46.1;685.26
0.705339850;27.000823706;2021-11-23 16:55:41.363;25.6;25.44;25.7;27.04;26.6;28.88;46.1;725.02
0.705350671;27.935824166;2021-11-23 16:55:42.298;25.6;25.44;25.7;27.1;26.6;28.88;46.1;725.02
0.705350868;27.952823923;2021-11-23 16:55:42.315;25.6;25.44;25.7;27.1;26.7;28.88;46.1;725.02
0.705351053;27.968824138;2021-11-23 16:55:42.331;25.6;25.44;25.7;27.1;26.7;29.12;46.1;725.02
0.705351238;27.984823724;2021-11-23 16:55:42.347;25.6;25.44;25.7;27.1;26.7;29.12;47.02;725.02
0.705351412;27.999823769;2021-11-23 16:55:42.362;25.6;25.44;25.7;27.1;26.7;29.12;47.02;752.7
0.705361690;28.887823755;2021-11-23 16:55:43.250;25.68;25.44;25.7;27.1;26.7;29.12;47.02;752.7
0.705361875;28.903823970;2021-11-23 16:55:43.266;25.68;25.5;25.7;27.1;26.7;29.12;47.02;752.7
0.705362072;28.920823727;2021-11-23 16:55:43.283;25.68;25.5;25.78;27.1;26.7;29.12;47.02;752.7
0.705362257;28.936823942;2021-11-23 16:55:43.299;25.68;25.5;25.78;27.16;26.7;29.12;47.02;752.7
0.705362616;28.967824201;2021-11-23 16:55:43.330;25.68;25.5;25.78;27.16;26.7;29.26;47.02;752.7
0.705362801;28.983823788;2021-11-23 16:55:43.346;25.68;25.5;25.78;27.16;26.7;29.26;48.82;752.7
0.705362986;28.999824003;2021-11-23 16:55:43.362;25.68;25.5;25.78;27.16;26.7;29.26;48.82;760
0.705373264;29.887823989;2021-11-23 16:55:44.250;25.76;25.5;25.78;27.16;26.7;29.26;48.82;760
0.705373449;29.903824204;2021-11-23 16:55:44.266;25.76;25.56;25.78;27.16;26.7;29.26;48.82;760
0.705373819;29.935824005;2021-11-23 16:55:44.298;25.76;25.56;25.78;27.24;26.7;29.26;48.82;760
0.705374005;29.951824220;2021-11-23 16:55:44.314;25.76;25.56;25.78;27.24;26.78;29.26;48.82;760
0.705374190;29.967823806;2021-11-23 16:55:44.330;25.76;25.56;25.78;27.24;26.78;29.38;48.82;760
0.705374375;29.983824021;2021-11-23 16:55:44.346;25.76;25.56;25.78;27.24;26.78;29.38;49.84;760
0.705385023;30.903823809;2021-11-23 16:55:45.266;25.76;25.5;25.78;27.24;26.78;29.38;49.84;760
0.705385220;30.920824194;2021-11-23 16:55:45.283;25.76;25.5;25.84;27.24;26.78;29.38;49.84;760
0.705385764;30.967824040;2021-11-23 16:55:45.330;25.76;25.5;25.84;27.24;26.78;29.44;49.84;760
0.705385949;30.983824255;2021-11-23 16:55:45.346;25.76;25.5;25.84;27.24;26.78;29.44;50.84;760
0.705396609;31.904824213;2021-11-23 16:55:46.267;25.76;25.62;25.84;27.24;26.78;29.44;50.84;760
0.705396794;31.920823800;2021-11-23 16:55:46.283;25.76;25.62;25.94;27.24;26.78;29.44;50.84;760
0.705396979;31.936824015;2021-11-23 16:55:46.299;25.76;25.62;25.94;27.44;26.78;29.44;50.84;760
0.705397164;31.952824230;2021-11-23 16:55:46.315;25.76;25.62;25.94;27.44;26.9;29.44;50.84;760
0.705397350;31.968823816;2021-11-23 16:55:46.331;25.76;25.62;25.94;27.44;26.9;29.8;50.84;760
0.705397535;31.984824031;2021-11-23 16:55:46.347;25.76;25.62;25.94;27.44;26.9;29.8;51.94;760
0.705397720;32.000824246;2021-11-23 16:55:46.363;25.76;25.62;25.94;27.44;26.9;29.8;51.94;736.74
0.705408171;32.903824276;2021-11-23 16:55:47.266;25.76;25.56;25.94;27.44;26.9;29.8;51.94;736.74
0.705408924;32.968824050;2021-11-23 16:55:47.331;25.76;25.56;25.94;27.44;26.9;29.86;51.94;736.74
0.705409109;32.984824265;2021-11-23 16:55:47.347;25.76;25.56;25.94;27.44;26.9;29.86;54.08;736.74
0.705409282;32.999824309;2021-11-23 16:55:47.362;25.76;25.56;25.94;27.44;26.9;29.86;54.08;718.02
0.705419560;33.887824295;2021-11-23 16:55:48.250;25.88;25.56;25.94;27.44;26.9;29.86;54.08;718.02
0.705419745;33.903823882;2021-11-23 16:55:48.266;25.88;25.66;25.94;27.44;26.9;29.86;54.08;718.02
0.705420313;33.952824068;2021-11-23 16:55:48.315;25.88;25.66;25.94;27.44;26.96;29.86;54.08;718.02
0.705420486;33.967824113;2021-11-23 16:55:48.330;25.88;25.66;25.94;27.44;26.96;30.04;54.08;718.02
0.705420671;33.983823699;2021-11-23 16:55:48.346;25.88;25.66;25.94;27.44;26.96;30.04;55.34;718.02
0.705420856;33.999823914;2021-11-23 16:55:48.362;25.88;25.66;25.94;27.44;26.96;30.04;55.34;739.38
0.705431505;34.919823702;2021-11-23 16:55:49.282;25.88;25.66;26.06;27.44;26.96;30.04;55.34;739.38
0.705431701;34.936824087;2021-11-23 16:55:49.299;25.88;25.66;26.06;27.68;26.96;30.04;55.34;739.38
0.705432072;34.968823888;2021-11-23 16:55:49.331;25.88;25.66;26.06;27.68;26.96;30.16;55.34;739.38
0.705432257;34.984824103;2021-11-23 16:55:49.347;25.88;25.66;26.06;27.68;26.96;30.16;56.5;739.38
0.705432442;35.000823690;2021-11-23 16:55:49.363;25.88;25.66;26.06;27.68;26.96;30.16;56.5;758.64
0.705443275;35.936823692;2021-11-23 16:55:50.299;25.88;25.66;26.06;27.74;26.96;30.16;56.5;758.64
0.705443461;35.952823907;2021-11-23 16:55:50.315;25.88;25.66;26.06;27.74;27.12;30.16;56.5;758.64
0.705443646;35.968824122;2021-11-23 16:55:50.331;25.88;25.66;26.06;27.74;27.12;30.44;56.5;758.64
0.705443831;35.984823709;2021-11-23 16:55:50.347;25.88;25.66;26.06;27.74;27.12;30.44;57.82;758.64
0.705444016;36.000823924;2021-11-23 16:55:50.363;25.88;25.66;26.06;27.74;27.12;30.44;57.82;760
0.705454850;36.936823926;2021-11-23 16:55:51.299;25.88;25.66;26.06;27.82;27.12;30.44;57.82;760
0.705455035;36.952824141;2021-11-23 16:55:51.315;25.88;25.66;26.06;27.82;27.18;30.44;57.82;760
0.705455220;36.968823727;2021-11-23 16:55:51.331;25.88;25.66;26.06;27.82;27.18;30.64;57.82;760
0.705455405;36.984823942;2021-11-23 16:55:51.347;25.88;25.66;26.06;27.82;27.18;30.64;60.36;760
0.705465856;37.887823973;2021-11-23 16:55:52.250;25.96;25.66;26.06;27.82;27.18;30.64;60.36;760
0.705466042;37.903824188;2021-11-23 16:55:52.266;25.96;25.8;26.06;27.82;27.18;30.64;60.36;760
0.705466227;37.919823774;2021-11-23 16:55:52.282;25.96;25.8;26.14;27.82;27.18;30.64;60.36;760
0.705466412;37.935823989;2021-11-23 16:55:52.298;25.96;25.8;26.14;27.9;27.18;30.64;60.36;760
0.705466597;37.951824204;2021-11-23 16:55:52.314;25.96;25.8;26.14;27.9;27.24;30.64;60.36;760
0.705466782;37.967823791;2021-11-23 16:55:52.330;25.96;25.8;26.14;27.9;27.24;30.86;60.36;760
0.705466968;37.983824005;2021-11-23 16:55:52.346;25.96;25.8;26.14;27.9;27.24;30.86;61.5;760
0.705477813;38.920824179;2021-11-23 16:55:53.283;25.96;25.8;26.22;27.9;27.24;30.86;61.5;760
0.705477998;38.936823765;2021-11-23 16:55:53.299;25.96;25.8;26.22;28.1;27.24;30.86;61.5;760
0.705478183;38.952823980;2021-11-23 16:55:53.315;25.96;25.8;26.22;28.1;27.34;30.86;61.5;760
0.705478368;38.968824195;2021-11-23 16:55:53.331;25.96;25.8;26.22;28.1;27.34;31.02;61.5;760
0.705478542;38.983824239;2021-11-23 16:55:53.346;25.96;25.8;26.22;28.1;27.34;31.02;62.56;760
0.705489005;39.887823812;2021-11-23 16:55:54.250;26.06;25.8;26.22;28.1;27.34;31.02;62.56;760
0.705489190;39.903824027;2021-11-23 16:55:54.266;26.06;25.96;26.22;28.1;27.34;31.02;62.56;760
0.705489375;39.919824242;2021-11-23 16:55:54.282;26.06;25.96;26.4;28.1;27.34;31.02;62.56;760
0.705489572;39.936823999;2021-11-23 16:55:54.299;26.06;25.96;26.4;28.24;27.34;31.02;62.56;760
0.705489757;39.952824214;2021-11-23 16:55:54.315;26.06;25.96;26.4;28.24;27.44;31.02;62.56;760
0.705489931;39.967824258;2021-11-23 16:55:54.330;26.06;25.96;26.4;28.24;27.44;31.3;62.56;760
0.705490116;39.983823844;2021-11-23 16:55:54.346;26.06;25.96;26.4;28.24;27.44;31.3;63.68;760
0.705490301;39.999824059;2021-11-23 16:55:54.362;26.06;25.96;26.4;28.24;27.44;31.3;63.68;754.62
0.705501146;40.936824232;2021-11-23 16:55:55.299;26.06;25.96;26.4;28.36;27.44;31.3;63.68;754.62
0.705501331;40.952823819;2021-11-23 16:55:55.315;26.06;25.96;26.4;28.36;27.52;31.3;63.68;754.62
0.705501516;40.968824034;2021-11-23 16:55:55.331;26.06;25.96;26.4;28.36;27.52;31.52;63.68;754.62
0.705501701;40.984824249;2021-11-23 16:55:55.347;26.06;25.96;26.4;28.36;27.52;31.52;66.28;754.62
0.705501875;40.999824293;2021-11-23 16:55:55.362;26.06;25.96;26.4;28.36;27.52;31.52;66.28;760
0.705512153;41.887824279;2021-11-23 16:55:56.250;26.24;25.96;26.4;28.36;27.52;31.52;66.28;760
0.705512338;41.903823866;2021-11-23 16:55:56.266;26.24;26.24;26.4;28.36;27.52;31.52;66.28;760
0.705512523;41.919824081;2021-11-23 16:55:56.282;26.24;26.24;26.56;28.36;27.52;31.52;66.28;760
0.705512720;41.936823838;2021-11-23 16:55:56.299;26.24;26.24;26.56;28.58;27.52;31.52;66.28;760
0.705512905;41.952824053;2021-11-23 16:55:56.315;26.24;26.24;26.56;28.58;27.66;31.52;66.28;760
0.705513090;41.968824268;2021-11-23 16:55:56.331;26.24;26.24;26.56;28.58;27.66;31.8;66.28;760
0.705513264;41.983824312;2021-11-23 16:55:56.346;26.24;26.24;26.56;28.58;27.66;31.8;67.94;760
0.705523912;42.903824099;2021-11-23 16:55:57.266;26.24;26.32;26.56;28.58;27.66;31.8;67.94;760
0.705524109;42.920823856;2021-11-23 16:55:57.283;26.24;26.32;26.7;28.58;27.66;31.8;67.94;760
0.705524294;42.936824071;2021-11-23 16:55:57.299;26.24;26.32;26.7;28.78;27.66;31.8;67.94;760
0.705524479;42.952824286;2021-11-23 16:55:57.315;26.24;26.32;26.7;28.78;27.76;31.8;67.94;760
